#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAN	CDH2	9606.ENSP00000387356	9606.ENSP00000269141	0	0	0	0	0.049	0	0	0.430	0.435
ACAN	ADAMTS16	9606.ENSP00000387356	9606.ENSP00000274181	0	0	0	0	0	0	0.900	0.391	0.936
ACAN	HABP2	9606.ENSP00000387356	9606.ENSP00000277903	0	0	0	0	0	0	0	0.553	0.553
ACAN	MMP10	9606.ENSP00000387356	9606.ENSP00000279441	0	0	0	0	0	0.060	0	0.621	0.629
ACAN	B3GNT3	9606.ENSP00000387356	9606.ENSP00000321874	0	0	0	0	0	0	0.900	0	0.900
ACAN	MMP1	9606.ENSP00000387356	9606.ENSP00000322788	0	0	0	0	0	0.228	0.900	0.697	0.974
ACAN	COL10A1	9606.ENSP00000387356	9606.ENSP00000327368	0	0	0	0	0.090	0	0	0.848	0.856
ACAN	CHST6	9606.ENSP00000387356	9606.ENSP00000328983	0	0	0	0	0.062	0	0.900	0.087	0.906
ACAN	THBS4	9606.ENSP00000387356	9606.ENSP00000339730	0	0	0	0	0.062	0	0	0.430	0.443
ACAN	COL9A3	9606.ENSP00000387356	9606.ENSP00000341640	0	0	0	0	0.063	0	0	0.468	0.480
ACAN	MMP17	9606.ENSP00000387356	9606.ENSP00000353767	0	0	0	0	0.062	0.101	0	0.638	0.668
ACAN	COL11A1	9606.ENSP00000387356	9606.ENSP00000359114	0	0	0	0	0.086	0	0	0.565	0.586
ACAN	RUNX2	9606.ENSP00000387356	9606.ENSP00000360493	0	0	0	0	0	0	0	0.837	0.837
ACAN	MMP9	9606.ENSP00000387356	9606.ENSP00000361405	0	0	0	0	0	0.060	0.900	0.664	0.965
ACAN	COL9A2	9606.ENSP00000387356	9606.ENSP00000361834	0	0	0	0	0.063	0	0	0.581	0.591
ACAN	LECT1	9606.ENSP00000387356	9606.ENSP00000367198	0	0	0	0	0.064	0	0	0.468	0.480
ACAN	POSTN	9606.ENSP00000387356	9606.ENSP00000369071	0	0	0	0	0	0	0	0.410	0.410
ACAN	COL2A1	9606.ENSP00000387356	9606.ENSP00000369889	0	0	0	0.541	0.063	0	0	0.900	0.448
ACAN	PTPRZ1	9606.ENSP00000387356	9606.ENSP00000377047	0	0	0	0	0.062	0	0	0.696	0.703
ACAN	HMMR	9606.ENSP00000387356	9606.ENSP00000377492	0	0	0	0	0	0	0	0.404	0.404
ACAN	SPP1	9606.ENSP00000387356	9606.ENSP00000378517	0	0	0	0	0	0	0	0.654	0.654
ACAN	ADAMTS12	9606.ENSP00000387356	9606.ENSP00000422554	0	0	0	0	0.062	0	0	0.487	0.498
ACAN	PTHLH	9606.ENSP00000387356	9606.ENSP00000441765	0	0	0	0	0	0	0	0.546	0.546
ACAN	CHAD	9606.ENSP00000387356	9606.ENSP00000423812	0	0	0	0	0.062	0.056	0	0.603	0.617
ACAN	MMP12	9606.ENSP00000387356	9606.ENSP00000458585	0	0	0	0	0	0.060	0.900	0.418	0.940
ACE2	CEACAM1	9606.ENSP00000389326	9606.ENSP00000161559	0	0	0	0	0.064	0	0	0.406	0.420
ACE2	FAP	9606.ENSP00000389326	9606.ENSP00000188790	0	0	0	0	0.053	0	0	0.543	0.548
ACE2	MMP11	9606.ENSP00000389326	9606.ENSP00000215743	0	0	0	0	0.062	0	0	0.441	0.453
ACE2	VIL1	9606.ENSP00000389326	9606.ENSP00000248444	0	0	0	0	0.513	0	0	0	0.513
ACE2	NTS	9606.ENSP00000389326	9606.ENSP00000256010	0	0	0	0	0.065	0.488	0	0.310	0.641
ACE2	NOX4	9606.ENSP00000389326	9606.ENSP00000263317	0	0	0	0	0	0	0	0.449	0.449
ACE2	ITGA2	9606.ENSP00000389326	9606.ENSP00000296585	0	0	0	0	0	0.305	0	0.351	0.530
ACE2	COL22A1	9606.ENSP00000389326	9606.ENSP00000303153	0	0	0	0	0.062	0	0	0.404	0.417
ACE2	ACHE	9606.ENSP00000389326	9606.ENSP00000303211	0	0	0	0	0.058	0	0	0.410	0.420
ACE2	COL7A1	9606.ENSP00000389326	9606.ENSP00000332371	0	0	0	0	0.049	0	0	0.642	0.644
ACE2	MMP17	9606.ENSP00000389326	9606.ENSP00000353767	0	0	0	0	0.062	0	0	0.545	0.554
ACE2	AGT	9606.ENSP00000389326	9606.ENSP00000355627	0	0	0	0	0.063	0.845	0.900	0.878	0.998
ACE2	MMP9	9606.ENSP00000389326	9606.ENSP00000361405	0	0	0	0	0.062	0	0	0.423	0.436
ACE2	SLC15A1	9606.ENSP00000389326	9606.ENSP00000365686	0	0	0.239	0	0.112	0	0	0.637	0.733
ACE2	NLN	9606.ENSP00000389326	9606.ENSP00000370372	0	0	0	0	0	0	0	0.497	0.497
ACE2	TMPRSS6	9606.ENSP00000389326	9606.ENSP00000371211	0	0	0	0	0.522	0	0	0	0.522
ACE2	DPP10	9606.ENSP00000389326	9606.ENSP00000376855	0	0	0	0	0	0	0	0.421	0.420
ACE2	COL25A1	9606.ENSP00000389326	9606.ENSP00000382083	0	0	0	0	0.049	0	0	0.418	0.422
ACE2	SLC1A7	9606.ENSP00000389326	9606.ENSP00000478639	0	0	0	0	0	0	0	0.923	0.924
ACHE	NGFR	9606.ENSP00000303211	9606.ENSP00000172229	0	0	0	0	0.076	0	0	0.401	0.423
ACHE	CYP24A1	9606.ENSP00000303211	9606.ENSP00000216862	0	0	0	0	0	0.060	0	0.509	0.518
ACHE	CP	9606.ENSP00000303211	9606.ENSP00000264613	0	0	0	0	0.051	0	0	0.438	0.443
ACHE	UCHL1	9606.ENSP00000303211	9606.ENSP00000284440	0	0	0	0	0.085	0	0	0.394	0.422
ACHE	CHRNA5	9606.ENSP00000303211	9606.ENSP00000299565	0	0	0	0	0	0	0	0.431	0.431
ACHE	ACE2	9606.ENSP00000303211	9606.ENSP00000389326	0	0	0	0	0.058	0	0	0.410	0.420
ACHE	CALCA	9606.ENSP00000303211	9606.ENSP00000331746	0	0	0	0	0	0	0	0.519	0.519
ACHE	TAC1	9606.ENSP00000303211	9606.ENSP00000321106	0	0	0	0	0.097	0	0	0.661	0.680
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.181	0	0	0.473	0.551
ADAM12	WISP1	9606.ENSP00000357668	9606.ENSP00000250160	0	0	0	0	0.141	0	0	0.382	0.447
ADAM12	MMP7	9606.ENSP00000357668	9606.ENSP00000260227	0	0	0	0	0	0	0	0.446	0.446
ADAM12	EGF	9606.ENSP00000357668	9606.ENSP00000265171	0	0	0	0	0.050	0.213	0.900	0.463	0.954
ADAM12	ADAM28	9606.ENSP00000357668	9606.ENSP00000265769	0	0	0	0.825	0	0.403	0	0.839	0.489
ADAM12	COL3A1	9606.ENSP00000357668	9606.ENSP00000304408	0	0	0	0	0.175	0	0	0.317	0.412
ADAM12	MMP9	9606.ENSP00000357668	9606.ENSP00000361405	0	0	0	0	0	0	0	0.430	0.430
ADAM12	COL5A1	9606.ENSP00000357668	9606.ENSP00000360882	0	0	0	0	0.192	0	0	0.338	0.442
ADAM12	CPXM1	9606.ENSP00000357668	9606.ENSP00000369979	0	0	0	0	0.062	0	0	0.451	0.463
ADAM12	ADAM8	9606.ENSP00000357668	9606.ENSP00000453302	0	0	0	0.858	0	0.402	0	0.819	0.470
ADAM12	POSTN	9606.ENSP00000357668	9606.ENSP00000369071	0	0	0	0	0.214	0	0	0.399	0.508
ADAM12	IGFBP3	9606.ENSP00000357668	9606.ENSP00000370473	0	0	0	0	0.141	0.487	0	0.356	0.691
ADAM28	EGF	9606.ENSP00000265769	9606.ENSP00000265171	0	0	0	0	0	0	0	0.408	0.408
ADAM28	ADAM8	9606.ENSP00000265769	9606.ENSP00000453302	0	0	0	0.866	0.088	0.403	0	0.627	0.478
ADAM28	ADAM12	9606.ENSP00000265769	9606.ENSP00000357668	0	0	0	0.825	0	0.403	0	0.839	0.489
ADAM28	CNTNAP2	9606.ENSP00000265769	9606.ENSP00000354778	0	0	0	0	0	0	0	0.562	0.562
ADAM28	LGI2	9606.ENSP00000265769	9606.ENSP00000371548	0	0	0	0	0	0.056	0	0.660	0.666
ADAM8	CP	9606.ENSP00000453302	9606.ENSP00000264613	0	0	0	0	0	0	0	0.720	0.720
ADAM8	ADAM28	9606.ENSP00000453302	9606.ENSP00000265769	0	0	0	0.866	0.088	0.403	0	0.627	0.478
ADAM8	ADAM12	9606.ENSP00000453302	9606.ENSP00000357668	0	0	0	0.858	0	0.402	0	0.819	0.470
ADAM8	MMP9	9606.ENSP00000453302	9606.ENSP00000361405	0	0	0	0	0.201	0	0	0.378	0.482
ADAMDEC1	GABBR1	9606.ENSP00000256412	9606.ENSP00000366233	0	0	0	0	0	0	0	0.450	0.450
ADAMDEC1	CXCL9	9606.ENSP00000256412	9606.ENSP00000354901	0	0	0	0	0.532	0	0	0.181	0.600
ADAMTS12	COMP	9606.ENSP00000422554	9606.ENSP00000222271	0	0	0	0	0	0.587	0	0.603	0.829
ADAMTS12	COL1A1	9606.ENSP00000422554	9606.ENSP00000225964	0	0	0	0	0.314	0.077	0	0.201	0.450
ADAMTS12	VCAN	9606.ENSP00000422554	9606.ENSP00000265077	0	0	0	0	0.096	0	0	0.414	0.448
ADAMTS12	EGF	9606.ENSP00000422554	9606.ENSP00000265171	0	0	0	0	0	0	0	0.693	0.693
ADAMTS12	ADAMTS16	9606.ENSP00000422554	9606.ENSP00000274181	0	0	0	0.810	0	0	0.900	0.712	0.913
ADAMTS12	COL3A1	9606.ENSP00000422554	9606.ENSP00000304408	0	0	0	0	0.213	0.077	0	0.275	0.428
ADAMTS12	THBS2	9606.ENSP00000422554	9606.ENSP00000355751	0	0	0	0.542	0.161	0.123	0.900	0.209	0.926
ADAMTS12	ADAMTS14	9606.ENSP00000422554	9606.ENSP00000362304	0	0	0	0.714	0.090	0	0.900	0.642	0.922
ADAMTS12	ACAN	9606.ENSP00000422554	9606.ENSP00000387356	0	0	0	0	0.062	0	0	0.487	0.498
ADAMTS14	COMP	9606.ENSP00000362304	9606.ENSP00000222271	0	0	0	0	0.062	0.074	0	0.710	0.726
ADAMTS14	COL1A1	9606.ENSP00000362304	9606.ENSP00000225964	0	0	0	0	0.117	0.153	0.900	0.264	0.937
ADAMTS14	ADAMTS16	9606.ENSP00000362304	9606.ENSP00000274181	0	0	0	0.727	0.063	0	0.900	0.702	0.920
ADAMTS14	COL22A1	9606.ENSP00000362304	9606.ENSP00000303153	0	0	0	0	0	0.077	0	0.490	0.509
ADAMTS14	COL3A1	9606.ENSP00000362304	9606.ENSP00000304408	0	0	0	0	0.096	0.153	0.900	0.123	0.923
ADAMTS14	COL7A1	9606.ENSP00000362304	9606.ENSP00000332371	0	0	0	0	0.144	0.145	0	0.549	0.641
ADAMTS14	THBS2	9606.ENSP00000362304	9606.ENSP00000355751	0	0	0	0.542	0.159	0.074	0.900	0.142	0.919
ADAMTS14	COL11A1	9606.ENSP00000362304	9606.ENSP00000359114	0	0	0	0	0.082	0.153	0.900	0.213	0.930
ADAMTS14	COL5A1	9606.ENSP00000362304	9606.ENSP00000360882	0	0	0	0	0.117	0.153	0.900	0.283	0.939
ADAMTS14	CARD14	9606.ENSP00000362304	9606.ENSP00000458715	0	0	0	0	0	0.066	0	0.467	0.480
ADAMTS14	ADAMTS12	9606.ENSP00000362304	9606.ENSP00000422554	0	0	0	0.714	0.090	0	0.900	0.642	0.922
ADAMTS14	COL2A1	9606.ENSP00000362304	9606.ENSP00000369889	0	0	0	0	0.062	0.153	0.900	0.215	0.929
ADAMTS14	COL5A2	9606.ENSP00000362304	9606.ENSP00000364000	0	0	0	0	0.096	0.153	0.900	0.395	0.947
ADAMTS16	COMP	9606.ENSP00000274181	9606.ENSP00000222271	0	0	0	0	0	0.123	0	0.365	0.419
ADAMTS16	CREB3L4	9606.ENSP00000274181	9606.ENSP00000357596	0	0	0	0	0	0	0	0.418	0.418
ADAMTS16	PCDH7	9606.ENSP00000274181	9606.ENSP00000441802	0	0	0	0	0	0.061	0	0.438	0.449
ADAMTS16	GPC2	9606.ENSP00000274181	9606.ENSP00000292377	0	0	0	0	0	0	0	0.466	0.466
ADAMTS16	MMP17	9606.ENSP00000274181	9606.ENSP00000353767	0	0	0	0	0	0.066	0	0.465	0.479
ADAMTS16	ADAMTS12	9606.ENSP00000274181	9606.ENSP00000422554	0	0	0	0.810	0	0	0.900	0.712	0.913
ADAMTS16	THBS2	9606.ENSP00000274181	9606.ENSP00000355751	0	0	0	0.543	0.062	0.123	0.900	0.134	0.914
ADAMTS16	ADAMTS14	9606.ENSP00000274181	9606.ENSP00000362304	0	0	0	0.727	0.063	0	0.900	0.702	0.920
ADAMTS16	ACAN	9606.ENSP00000274181	9606.ENSP00000387356	0	0	0	0	0	0	0.900	0.391	0.936
ADCK5	RBBP8NL	9606.ENSP00000310547	9606.ENSP00000252998	0	0	0	0	0	0	0	0.505	0.505
ADH1C	ALDH3B2	9606.ENSP00000426083	9606.ENSP00000255084	0.049	0	0	0	0.062	0	0.650	0.680	0.886
ADH1C	UGT1A6	9606.ENSP00000426083	9606.ENSP00000303174	0	0	0	0	0.097	0	0.650	0.139	0.704
ADH1C	UGT1A8	9606.ENSP00000426083	9606.ENSP00000304845	0	0	0	0	0.144	0	0.650	0.096	0.705
ADH1C	UGT2B4	9606.ENSP00000426083	9606.ENSP00000305221	0	0	0	0	0.091	0	0.650	0.062	0.675
ADH1C	LRAT	9606.ENSP00000426083	9606.ENSP00000337224	0	0	0	0	0.062	0	0.900	0.323	0.930
ADH1C	UGT1A10	9606.ENSP00000426083	9606.ENSP00000343838	0	0	0	0	0.118	0	0.650	0.134	0.709
ADH1C	UGT1A9	9606.ENSP00000426083	9606.ENSP00000346768	0	0	0	0	0.114	0	0.650	0.095	0.695
ADH1C	AKR1B10	9606.ENSP00000426083	9606.ENSP00000352584	0	0	0	0	0.116	0.160	0	0.411	0.525
ADH1C	UGT1A4	9606.ENSP00000426083	9606.ENSP00000362508	0	0	0	0	0.144	0	0.650	0.061	0.694
ADH1C	UGT1A7	9606.ENSP00000426083	9606.ENSP00000362525	0	0	0	0	0.063	0	0.650	0.067	0.667
ADH1C	ALDH3A1	9606.ENSP00000426083	9606.ENSP00000411821	0.049	0	0	0	0.062	0	0.650	0.677	0.885
ADH1C	CYP2E1	9606.ENSP00000426083	9606.ENSP00000440689	0.044	0	0	0	0.123	0	0.900	0.713	0.972
ADM2	RAMP1	9606.ENSP00000379087	9606.ENSP00000254661	0	0	0	0	0	0	0.500	0.806	0.899
ADM2	MAPK8IP2	9606.ENSP00000379087	9606.ENSP00000330572	0	0	0	0	0.088	0	0	0.720	0.733
ADM2	CALCA	9606.ENSP00000379087	9606.ENSP00000331746	0	0	0	0	0	0	0.500	0.763	0.876
ADM2	PTHLH	9606.ENSP00000379087	9606.ENSP00000441765	0	0	0	0	0	0	0.500	0.075	0.517
ADSSL1	ASNS	9606.ENSP00000333019	9606.ENSP00000175506	0.059	0	0	0	0.138	0	0.900	0.235	0.929
ADSSL1	NT5E	9606.ENSP00000333019	9606.ENSP00000257770	0.085	0	0	0	0.062	0	0.650	0.219	0.734
ADSSL1	PPAT	9606.ENSP00000333019	9606.ENSP00000264220	0.219	0	0.222	0	0.108	0	0	0.673	0.799
ADSSL1	PGM2L1	9606.ENSP00000333019	9606.ENSP00000298198	0.133	0	0	0	0.065	0.609	0	0.189	0.708
ADSSL1	CBSL	9606.ENSP00000333019	9606.ENSP00000381231	0.041	0	0	0	0.062	0.337	0	0.132	0.413
ADSSL1	SHMT2	9606.ENSP00000333019	9606.ENSP00000333667	0.046	0	0	0	0.143	0.056	0	0.354	0.434
ADSSL1	PSAT1	9606.ENSP00000333019	9606.ENSP00000365773	0.219	0	0	0	0.146	0	0	0.249	0.455
ADSSL1	ALDH18A1	9606.ENSP00000333019	9606.ENSP00000360268	0.094	0	0	0	0.065	0	0	0.562	0.596
ADSSL1	CPS1	9606.ENSP00000333019	9606.ENSP00000402608	0.109	0	0.298	0	0.108	0	0	0.368	0.600
ADSSL1	PAICS	9606.ENSP00000333019	9606.ENSP00000382595	0.219	0	0	0	0.084	0.173	0	0.507	0.669
ADSSL1	GAD1	9606.ENSP00000333019	9606.ENSP00000350928	0	0	0	0	0.064	0	0.800	0	0.804
ADSSL1	NAT8L	9606.ENSP00000333019	9606.ENSP00000413064	0	0	0	0	0	0	0.900	0	0.900
ADSSL1	IL4I1	9606.ENSP00000333019	9606.ENSP00000472474	0	0	0	0	0	0	0.900	0.058	0.901
ADSSL1	ENTPD8	9606.ENSP00000333019	9606.ENSP00000360561	0	0	0	0	0.062	0	0.900	0.177	0.916
AGR2	KRT20	9606.ENSP00000391490	9606.ENSP00000167588	0	0	0	0	0.273	0	0	0.394	0.540
AGR2	CEACAM6	9606.ENSP00000391490	9606.ENSP00000199764	0	0	0	0	0.332	0	0	0.204	0.445
AGR2	GAPDH	9606.ENSP00000391490	9606.ENSP00000229239	0	0	0	0	0	0.270	0	0.261	0.437
AGR2	LYPD3	9606.ENSP00000391490	9606.ENSP00000244333	0	0	0	0	0.085	0.469	0	0.977	0.988
AGR2	ERN2	9606.ENSP00000391490	9606.ENSP00000256797	0	0	0	0	0.062	0	0	0.524	0.534
AGR2	EPCAM	9606.ENSP00000391490	9606.ENSP00000263735	0	0	0	0	0.322	0	0	0.351	0.541
AGR2	PDIA4	9606.ENSP00000391490	9606.ENSP00000286091	0	0	0	0	0	0.270	0	0.481	0.604
AGR2	TFF1	9606.ENSP00000391490	9606.ENSP00000291527	0	0	0	0	0.547	0	0	0.512	0.769
AGR2	B3GNT3	9606.ENSP00000391490	9606.ENSP00000321874	0	0	0	0	0.347	0	0	0.233	0.477
AGR2	PKP3	9606.ENSP00000391490	9606.ENSP00000331678	0	0	0	0	0.334	0	0	0.165	0.420
AGR2	EPS8L3	9606.ENSP00000391490	9606.ENSP00000358820	0	0	0	0	0.340	0	0	0.449	0.621
AGR2	WFDC2	9606.ENSP00000391490	9606.ENSP00000361761	0	0	0	0	0.070	0	0	0.500	0.515
AGR2	SPDEF	9606.ENSP00000391490	9606.ENSP00000363149	0	0	0	0	0.349	0	0	0.593	0.724
AGR2	PRDX4	9606.ENSP00000391490	9606.ENSP00000368646	0	0	0	0	0	0.270	0	0.357	0.510
AGR2	DSP	9606.ENSP00000391490	9606.ENSP00000369129	0	0	0	0	0.152	0.114	0	0.415	0.522
AGR2	ZG16B	9606.ENSP00000391490	9606.ENSP00000371715	0	0	0	0	0.214	0	0	0.278	0.408
AGR2	CLDN3	9606.ENSP00000391490	9606.ENSP00000378577	0	0	0	0	0.539	0	0	0.258	0.643
AGR2	GCNT3	9606.ENSP00000391490	9606.ENSP00000379377	0	0	0	0	0.088	0	0	0.406	0.435
AGR2	MUC13	9606.ENSP00000391490	9606.ENSP00000485028	0	0	0	0	0.154	0	0	0.369	0.443
AGR2	FCGBP	9606.ENSP00000391490	9606.ENSP00000481056	0	0	0	0	0.085	0	0	0.530	0.552
AGR2	MUC5B	9606.ENSP00000391490	9606.ENSP00000436812	0	0	0	0	0.246	0.114	0	0.468	0.614
AGR2	TFF3	9606.ENSP00000391490	9606.ENSP00000430690	0	0	0	0	0.532	0	0	0.516	0.764
AGT	TTR	9606.ENSP00000355627	9606.ENSP00000237014	0	0	0	0	0.333	0.068	0	0.340	0.554
AGT	SLC14A2	9606.ENSP00000355627	9606.ENSP00000255226	0	0	0	0	0	0	0	0.441	0.441
